Trimestre,Región,Crecimiento
2023-04-01,La Libertad,-2.765556254
2023-07-01,La Libertad,-4.656862745
2017-01-01,Lambayeque,0
2017-04-01,Lambayeque,-1.182732111
2017-07-01,Lambayeque,6.917850525
2017-10-01,Lambayeque,4.515745692
2018-01-01,Lambayeque,5.728088337
2018-04-01,Lambayeque,8.138839019
2018-07-01,Lambayeque,0.288850376
2018-10-01,Lambayeque,2.728823195
2019-01-01,Lambayeque,1.305483029
2019-04-01,Lambayeque,2.877697842
2019-07-01,Lambayeque,0.288018433
2019-10-01,Lambayeque,4.593248478
2020-01-01,Lambayeque,-0.322164948
2020-04-01,Lambayeque,-23.07692308
2020-07-01,Lambayeque,-5.571510626
2020-10-01,Lambayeque,4.55026455
2021-01-01,Lambayeque,8.532643827
2021-04-01,Lambayeque,33.21678322
2021-07-01,Lambayeque,17.51824818
2021-10-01,Lambayeque,6.022267206
2022-01-01,Lambayeque,4.943418702
2022-04-01,Lambayeque,1.88976378
2022-07-01,Lambayeque,5.227743271
2022-10-01,Lambayeque,0.190930788
2023-01-01,Lambayeque,-1.305334847
2023-04-01,Lambayeque,-4.894384338
2023-07-01,Lambayeque,-12.1987211
2017-01-01,Lima,1.627033792
2017-04-01,Lima,2.684144819
2017-07-01,Lima,1.789019124
2017-10-01,Lima,2.006079027
2018-01-01,Lima,2.709359606
2018-04-01,Lima,5.775075988
2018-07-01,Lima,3.212121212
2018-10-01,Lima,5.601907032
2019-01-01,Lima,3.057553957
2019-04-01,Lima,1.32183908
2019-07-01,Lima,3.816793893
2019-10-01,Lima,2.144469526
2020-01-01,Lima,-3.955788249
2020-04-01,Lima,-32.27453205
2020-07-01,Lima,-8.766968326
2020-10-01,Lima,-2.430939227
2021-01-01,Lima,3.452453059
2021-04-01,Lima,47.65494137
2021-07-01,Lima,11.53130812
2021-10-01,Lima,4.190260476
2022-01-01,Lima,4.391100703
2022-04-01,Lima,3.857061826
2022-07-01,Lima,2.056698166
2022-10-01,Lima,0.054347826
2023-01-01,Lima,-0.504767246
2023-04-01,Lima,-2.075368651
2023-07-01,Lima,-2.233115468
2017-01-01,Loreto,1.123595506
2017-04-01,Loreto,4
2017-07-01,Loreto,9.420289855
2017-10-01,Loreto,10.5810928
2018-01-01,Loreto,13.24074074
2018-04-01,Loreto,14.31127013
2018-07-01,Loreto,1.90397351
2018-10-01,Loreto,12.70588235
2019-01-01,Loreto,-3.924775143
2019-04-01,Loreto,5.946791862
2019-07-01,Loreto,7.717303006
2019-10-01,Loreto,7.724425887
2020-01-01,Loreto,9.617021277
2020-04-01,Loreto,-36.33677991
2020-07-01,Loreto,-13.34841629
2020-10-01,Loreto,-12.85529716
2021-01-01,Loreto,-11.49068323
2021-04-01,Loreto,39.44315545
2021-07-01,Loreto,18.53785901
2021-10-01,Loreto,7.561156412
2022-01-01,Loreto,8.684210526
2022-04-01,Loreto,8.069883527
2022-07-01,Loreto,1.762114537
2022-10-01,Loreto,0.964851826
2023-01-01,Loreto,0.726392252
2023-04-01,Loreto,2.155504234
2023-07-01,Loreto,-1.731601732
2017-01-01,Madre de Dios,-14.71774194
2017-04-01,Madre de Dios,-6.851311953
2017-07-01,Madre de Dios,-5.401563611
2017-10-01,Madre de Dios,-10.79584775
2018-01-01,Madre de Dios,-9.456264775
2018-04-01,Madre de Dios,-6.729264476
2018-07-01,Madre de Dios,-6.235912847
2018-10-01,Madre de Dios,-3.10318076
2019-01-01,Madre de Dios,-5.221932115
2019-04-01,Madre de Dios,-7.382550336
2019-07-01,Madre de Dios,-6.570512821
2019-10-01,Madre de Dios,-4.083266613
2020-01-01,Madre de Dios,-7.346189164
2020-04-01,Madre de Dios,-42.8442029
2020-07-01,Madre de Dios,-27.70154374
2020-10-01,Madre de Dios,-19.11519199
2021-01-01,Madre de Dios,-11.39742319
2021-04-01,Madre de Dios,39.93660856
2021-07-01,Madre de Dios,16.2514828
2021-10-01,Madre de Dios,4.024767802
2022-01-01,Madre de Dios,4.138702461
2022-04-01,Madre de Dios,3.850509626
2022-07-01,Madre de Dios,1.020408163
2022-10-01,Madre de Dios,0.099206349
2023-01-01,Madre de Dios,-4.40386681
2023-04-01,Madre de Dios,0.54525627
2023-07-01,Madre de Dios,0.505050505
2017-01-01,Moquegua,1.458523245
2017-04-01,Moquegua,-3.862660944
2017-07-01,Moquegua,-1.333333333
2017-10-01,Moquegua,6.395348837
2018-01-01,Moquegua,-10.15274034
2018-04-01,Moquegua,5.535714286
2018-07-01,Moquegua,4.864864865
2018-10-01,Moquegua,3.43481655
2019-01-01,Moquegua,-16.9
2019-04-01,Moquegua,0.253807107
2019-07-01,Moquegua,-0.60137457
2019-10-01,Moquegua,-1.735849057
2020-01-01,Moquegua,31.04693141
2020-04-01,Moquegua,-12.06751055
2020-07-01,Moquegua,-4.840103717
2020-10-01,Moquegua,2.304147465
2021-01-01,Moquegua,8.539944904
2021-04-01,Moquegua,17.56238004
2021-07-01,Moquegua,14.8955495
2021-10-01,Moquegua,-9.009009009
2022-01-01,Moquegua,-9.221658206
2022-04-01,Moquegua,-4.163265306
2022-07-01,Moquegua,10.03952569
2022-10-01,Moquegua,54.12541254
2023-01-01,Moquegua,42.1248835
2023-04-01,Moquegua,50
2023-07-01,Moquegua,26.65229885
2017-01-01,Pasco,1.533406353
2017-04-01,Pasco,2.469135802
2017-07-01,Pasco,0.617283951
2017-10-01,Pasco,-3.988326848
2018-01-01,Pasco,1.402373247
2018-04-01,Pasco,-2.710843373
2018-07-01,Pasco,1.840490798
2018-10-01,Pasco,-0.202634245
2019-01-01,Pasco,-5.638297872
2019-04-01,Pasco,8.049535604
2019-07-01,Pasco,0.301204819
2019-10-01,Pasco,5.177664975
2020-01-01,Pasco,-2.14205186
2020-04-01,Pasco,-49.37917861
2020-07-01,Pasco,-8.408408408
2020-10-01,Pasco,-11.58301158
2021-01-01,Pasco,2.995391705
2021-04-01,Pasco,96.60377358
2021-07-01,Pasco,5.027322404
2021-10-01,Pasco,4.257641921
2022-01-01,Pasco,6.040268456
2022-04-01,Pasco,-2.975047985
2022-07-01,Pasco,1.248699272
2022-10-01,Pasco,4.083769634
2023-01-01,Pasco,-5.379746835
2023-04-01,Pasco,1.18694362
2023-07-01,Pasco,6.577595067
2017-01-01,Piura,-5.251951739
2017-04-01,Piura,-0.742240216
2017-07-01,Piura,0.490196078
2017-10-01,Piura,-3.848466627
2018-01-01,Piura,8.838951311
2018-04-01,Piura,7.817811013
2018-07-01,Piura,5.296167247
2018-10-01,Piura,6.066291432
2019-01-01,Piura,4.335856848
2019-04-01,Piura,3.467843632
2019-07-01,Piura,7.279947055
2019-10-01,Piura,2.830188679
2020-01-01,Piura,-3.232189974
2020-04-01,Piura,-31.93174893
2020-07-01,Piura,-7.156076496
2020-10-01,Piura,4.185779817
2021-01-01,Piura,6.203135651
2021-04-01,Piura,43.15129812
2021-07-01,Piura,9.966777409
2021-10-01,Piura,-1.651073198
2022-01-01,Piura,-2.310654685
2022-04-01,Piura,-2.501563477
2022-07-01,Piura,-2.598187311
2022-10-01,Piura,3.805260213
2023-01-01,Piura,8.607095926
2023-04-01,Piura,0.7055805
2023-07-01,Piura,6.203473945
2017-01-01,Puno,3.602305476
2017-04-01,Puno,5.392156863
2017-07-01,Puno,4.75177305
2017-10-01,Puno,1.82767624
2018-01-01,Puno,1.668984701
2018-04-01,Puno,3.824289406
2018-07-01,Puno,1.624915369
2018-10-01,Puno,2.179487179
2019-01-01,Puno,1.504787962
2019-04-01,Puno,3.534096565
2019-07-01,Puno,0.466355763
2019-10-01,Puno,-0.376411543
2020-01-01,Puno,-3.97574124
2020-04-01,Puno,-19.375
2020-07-01,Puno,-12.4005305
2020-10-01,Puno,-5.667506297
2021-01-01,Puno,3.438596491
2021-04-01,Puno,24.56768038
2021-07-01,Puno,13.92884179
2021-10-01,Puno,2.670226969
2022-01-01,Puno,4.816824966
2022-04-01,Puno,5.505026328
2022-07-01,Puno,-0.066445183
2022-10-01,Puno,2.795838752
2023-01-01,Puno,-9.773462783
2023-04-01,Puno,-13.38475499
2023-07-01,Puno,-1.662234043
2017-01-01,San Martín,6.565988181
2017-04-01,San Martín,6.726221755
2017-07-01,San Martín,6.77146312
2017-10-01,San Martín,5.445263755
